date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:34	271764/271764	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202026%2017:36:33%20GMT	https://sites.google.com/view/beaglemath	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath.html	(from )
18:36:34	85/85	---MCZ	200	added ('OK')	text/plain	date:Wed,%2010%20Jun%202026%2017:36:33%20GMT	https://sites.google.com/robots.txt		(from )
18:36:34	0/0	---M--	302	error ('Found')	application/binary	date:Wed,%2010%20Jun%202026%2017:36:34%20GMT	https://sites.google.com/view/POST	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/POST.1.delayed	(from https://sites.google.com/view/beaglemath)
18:36:34	14581/14581	---M--	200	added ('OK')	text/javascript	etag:%2262fdde725e2446b9%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/beaglemath/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/beaglemath)
18:36:35	0/0	---M--	302	error ('Found')	application/binary	date:Wed,%2010%20Jun%202026%2017:36:34%20GMT	https://sites.google.com/view/_/ss/	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/_/ss/index.html	(from https://sites.google.com/view/beaglemath)
18:36:35	271794/271794	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202026%2017:36:34%20GMT	https://sites.google.com/view/beaglemath/games	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath/games.html	(from https://sites.google.com/view/beaglemath)
18:36:36	147032/147032	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202026%2017:36:35%20GMT	https://sites.google.com/view/beaglemath/all-eaglercraft-clients	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath/all-eaglercraft-clients.html	(from https://sites.google.com/view/beaglemath)
18:36:36	166059/166059	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202026%2017:36:35%20GMT	https://sites.google.com/view/beaglemath/eaglercraft-servers	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath/eaglercraft-servers.html	(from https://sites.google.com/view/beaglemath)
18:36:37	133347/133347	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202026%2017:36:36%20GMT	https://sites.google.com/view/beaglemath/server-staff-application	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath/server-staff-application.html	(from https://sites.google.com/view/beaglemath)
18:36:37	133313/133313	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202026%2017:36:36%20GMT	https://sites.google.com/view/beaglemath/server-suggestions	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath/server-suggestions.html	(from https://sites.google.com/view/beaglemath)
18:36:38	133193/133193	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202026%2017:36:37%20GMT	https://sites.google.com/view/beaglemath/bug-report	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath/bug-report.html	(from https://sites.google.com/view/beaglemath)
18:36:38	131795/131795	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jun%202026%2017:36:37%20GMT	https://sites.google.com/view/beaglemath/POST	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath/POST.9.delayed	(from https://sites.google.com/view/beaglemath/games)
18:36:39	132107/132107	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jun%202026%2017:36:38%20GMT	https://sites.google.com/view/beaglemath/%22https://tally.so/widgets/embed.js%22></script>	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath/_https_/tally.so/widgets/embed.js___/script_.a.delayed	(from https://sites.google.com/view/beaglemath/server-staff-application)
18:36:40	131836/131836	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jun%202026%2017:36:38%20GMT	https://sites.google.com/view/beaglemath/_/ss/	C:/My%20Web%20Sites/beaglemath/sites.google.com/view/beaglemath/_/ss/index.html	(from https://sites.google.com/view/beaglemath/games)
